States,Years,Quarter,Districts,RegisteredUsers,AppOpens
"Andhra Pradesh",2023,3,"krishna district",3177643,73280755
"Arunachal Pradesh",2019,2,"dibang valley district",241,258
"Andaman and Nicobar Islands",2018,2,"south andaman district",8143,0
"Andhra Pradesh",2020,2,"west godavari district",944829,26583613
"Andhra Pradesh",2021,2,"vizianagaram district",729509,42684475
"Andhra Pradesh",2021,3,"krishna district",2145423,104358295
"Arunachal Pradesh",2018,3,"lepa rada district",431,0
"Andhra Pradesh",2023,3,"spsr nellore district",1887005,73583227
"Andhra Pradesh",2021,2,"ysr district",1103004,72255265
"Andhra Pradesh",2021,3,"spsr nellore district",1263550,90102349
"Andhra Pradesh",2021,3,"anantapur district",1606735,124985545
"Andhra Pradesh",2019,2,"anantapur district",695114,6056591
"Arunachal Pradesh",2019,2,"west kameng district",9782,73944
"Arunachal Pradesh",2018,2,"kurung kumey district",153,0
"Andaman and Nicobar Islands",2018,2,"nicobars district",351,0
"Arunachal Pradesh",2019,4,"lepa rada district",1263,20798
"Andhra Pradesh",2020,2,"chittoor district",1385916,49820171
"Arunachal Pradesh",2018,3,"lower dibang valley district",1286,0
"Andhra Pradesh",2019,2,"kurnool district",680118,6240480
"Arunachal Pradesh",2019,2,"shi yomi district",225,24
"Arunachal Pradesh",2018,2,"siang district",293,0
"Andhra Pradesh",2021,3,"kurnool district",1522196,101210508
"Andaman and Nicobar Islands",2018,3,"north and middle andaman district",1208,0
"Andhra Pradesh",2020,3,"east godavari district",1601940,64292857
"Andhra Pradesh",2021,2,"west godavari district",1339377,65118788
"Andhra Pradesh",2019,2,"guntur district",915256,7268875
"Arunachal Pradesh",2019,2,"east kameng district",1075,4146
"Arunachal Pradesh",2018,3,"changlang district",2889,0
"Arunachal Pradesh",2018,2,"kra daadi district",144,0
"Andaman and Nicobar Islands",2018,3,"south andaman district",10474,0
"Andhra Pradesh",2021,2,"chittoor district",1870723,110505432
"Arunachal Pradesh",2018,3,"pakke kessang district",103,0
"Andhra Pradesh",2019,2,"krishna district",952300,7822632
"Arunachal Pradesh",2018,3,"longding district",644,0
"Arunachal Pradesh",2018,2,"changlang district",2014,0
"Andhra Pradesh",2021,3,"east godavari district",2150622,103626560
"Andaman and Nicobar Islands",2018,3,"nicobars district",467,0
"Andhra Pradesh",2023,3,"vizianagaram district",1190571,41978556
"Andhra Pradesh",2021,3,"vizianagaram district",784444,46277311
"Andhra Pradesh",2019,2,"spsr nellore district",558303,4774473
"Andhra Pradesh",2021,3,"guntur district",2110878,106621413
"Andhra Pradesh",2021,3,"srikakulam district",902008,48622126
"Arunachal Pradesh",2018,2,"pakke kessang district",66,0
"Arunachal Pradesh",2019,4,"lower dibang valley district",3944,50034
"Arunachal Pradesh",2018,3,"west siang district",1652,0
"Arunachal Pradesh",2019,2,"lohit district",5485,32550
"Andhra Pradesh",2021,3,"ysr district",1183377,86369956
"Andhra Pradesh",2021,3,"krishna district",2145423,104358295
"Andhra Pradesh",2023,3,"ysr district",1764648,78787151
"Arunachal Pradesh",2018,3,"east siang district",3590,0
"Andaman and Nicobar Islands",2018,4,"north and middle andaman district",1553,0
"Andhra Pradesh",2020,3,"srikakulam district",667858,31794753
"Arunachal Pradesh",2019,2,"lepa rada district",903,4196
"Andhra Pradesh",2021,3,"west godavari district",1436576,80244808
"Andhra Pradesh",2021,3,"spsr nellore district",1263550,90102349
"Andhra Pradesh",2023,3,"west godavari district",2146530,73274852
"Arunachal Pradesh",2018,3,"kamle district",65,0
"Andaman and Nicobar Islands",2018,4,"south andaman district",13133,0
"Arunachal Pradesh",2018,2,"east siang district",2646,0
"Andhra Pradesh",2021,3,"visakhapatnam district",2707931,139540800
"Andaman and Nicobar Islands",2018,4,"nicobars district",536,0
"Andhra Pradesh",2021,3,"chittoor district",2007011,135043395
"Arunachal Pradesh",2019,4,"longding district",1847,48945
"Arunachal Pradesh",2018,3,"upper siang district",646,0
"Andhra Pradesh",2023,3,"chittoor district",2981337,129032458
"Arunachal Pradesh",2019,2,"lower dibang valley district",2842,12669
"Andhra Pradesh",2021,3,"prakasam district",1239147,91533813
"Andhra Pradesh",2020,3,"visakhapatnam district",2058346,102589371
"Andaman and Nicobar Islands",2019,1,"north and middle andaman district",2013,0
"Arunachal Pradesh",2018,2,"upper subansiri district",883,0
"Andhra Pradesh",2021,3,"vizianagaram district",784444,46277311
"Arunachal Pradesh",2018,1,"lower subansiri district",498,0
"Arunachal Pradesh",2018,3,"upper subansiri district",1169,0
"Arunachal Pradesh",2019,4,"west siang district",4773,70790
"Andhra Pradesh",2021,3,"anantapur district",1606735,124985545
"Andaman and Nicobar Islands",2019,1,"south andaman district",15961,0
"Arunachal Pradesh",2018,2,"tawang district",2266,0
"Andhra Pradesh",2020,3,"prakasam district",915240,44970519
"Andhra Pradesh",2021,4,"east godavari district",2294347,142536856
"Arunachal Pradesh",2018,3,"tawang district",3112,0
"Arunachal Pradesh",2019,4,"kamle district",323,5098
"Andhra Pradesh",2021,3,"kurnool district",1522196,101210508
"Andaman and Nicobar Islands",2019,1,"nicobars district",622,0
"Andhra Pradesh",2021,4,"srikakulam district",965335,61654215
"Andhra Pradesh",2019,2,"vizianagaram district",355058,3541678
"Arunachal Pradesh",2018,2,"namsai district",1276,0
"Andhra Pradesh",2021,3,"ysr district",1183377,86369956
"Arunachal Pradesh",2018,3,"kurung kumey district",222,0
"Andaman and Nicobar Islands",2019,2,"north and middle andaman district",2417,6118
"Andhra Pradesh",2020,3,"anantapur district",1186851,55714787
"Arunachal Pradesh",2018,3,"lower subansiri district",1033,0
"Arunachal Pradesh",2019,4,"upper siang district",1804,26060
"Andhra Pradesh",2019,2,"ysr district",519031,4345848
"Arunachal Pradesh",2018,3,"siang district",373,0
"Andhra Pradesh",2021,3,"west godavari district",1436576,80244808
"Andaman and Nicobar Islands",2019,2,"south andaman district",18621,43569
"Andhra Pradesh",2020,3,"kurnool district",1132240,49164718
"Arunachal Pradesh",2019,2,"longding district",1420,13256
"Arunachal Pradesh",2019,4,"kurung kumey district",653,7904
"Andhra Pradesh",2019,2,"west godavari district",592185,3853094
"Arunachal Pradesh",2018,3,"kra daadi district",190,0
"Andaman and Nicobar Islands",2019,2,"nicobars district",693,2953
"Arunachal Pradesh",2019,4,"siang district",1131,19220
"Andhra Pradesh",2021,3,"chittoor district",2007011,135043395
"Arunachal Pradesh",2019,2,"west siang district",3393,15972
"Andhra Pradesh",2019,2,"chittoor district",925491,8914216
"Arunachal Pradesh",2018,3,"namsai district",1862,0
"Andhra Pradesh",2020,3,"guntur district",1567595,62427501
"Andaman and Nicobar Islands",2019,3,"north and middle andaman district",2662,22064
"Arunachal Pradesh",2019,4,"kra daadi district",603,13700
"Arunachal Pradesh",2019,2,"kamle district",212,972
"Arunachal Pradesh",2018,3,"changlang district",2889,0
"Andhra Pradesh",2019,3,"east godavari district",1057167,28275322
"Arunachal Pradesh",2018,4,"lower subansiri district",1459,0
"Andhra Pradesh",2021,3,"guntur district",2110878,106621413
"Andaman and Nicobar Islands",2019,3,"south andaman district",20518,138190
"Arunachal Pradesh",2019,2,"upper siang district",1372,2710
"Arunachal Pradesh",2019,4,"changlang district",9662,152680
"Andhra Pradesh",2020,3,"krishna district",1599289,61028114
"Andhra Pradesh",2021,4,"east godavari district",2294347,142536856
"Arunachal Pradesh",2018,4,"tirap district",1684,0
"Arunachal Pradesh",2018,1,"tirap district",557,0
"Andhra Pradesh",2021,4,"visakhapatnam district",2888774,188757640
"Arunachal Pradesh",2018,3,"tirap district",1226,0
"Arunachal Pradesh",2019,4,"pakke kessang district",296,5981
"Andhra Pradesh",2021,4,"srikakulam district",965335,61654215
"Andhra Pradesh",2021,4,"prakasam district",1325728,86410317
"Andhra Pradesh",2020,3,"spsr nellore district",937176,43951448
"Arunachal Pradesh",2018,3,"pakke kessang district",103,0
"Andhra Pradesh",2021,3,"krishna district",2145423,104358295
"Andhra Pradesh",2019,3,"srikakulam district",437939,11813195
"Arunachal Pradesh",2018,3,"east siang district",3590,0
"Andhra Pradesh",2021,3,"spsr nellore district",1263550,90102349
"Arunachal Pradesh",2019,2,"kurung kumey district",481,2171
"Arunachal Pradesh",2018,3,"papum pare district",16009,0
"Arunachal Pradesh",2018,4,"papum pare district",21342,0
"Andhra Pradesh",2019,3,"visakhapatnam district",1460464,54836001
"Andaman and Nicobar Islands",2019,3,"nicobars district",751,10853
"Arunachal Pradesh",2018,3,"upper subansiri district",1169,0
"Andhra Pradesh",2021,3,"vizianagaram district",784444,46277311
"Arunachal Pradesh",2018,3,"anjaw district",542,0
"Andhra Pradesh",2021,4,"anantapur district",1719437,120768682
"Arunachal Pradesh",2018,4,"anjaw district",744,0
"Andhra Pradesh",2021,4,"visakhapatnam district",2888774,188757640
"Andhra Pradesh",2020,3,"vizianagaram district",587784,31199437
"Arunachal Pradesh",2018,1,"papum pare district",7649,0
"Andhra Pradesh",2021,3,"ysr district",1183377,86369956
"Andhra Pradesh",2019,3,"prakasam district",598568,16267041
"Andaman and Nicobar Islands",2019,4,"north and middle andaman district",2955,26253
"Arunachal Pradesh",2018,3,"lower siang district",717,0
"Arunachal Pradesh",2018,3,"tawang district",3112,0
"Arunachal Pradesh",2019,2,"siang district",831,3209
"Arunachal Pradesh",2018,4,"lower siang district",936,0
"Andhra Pradesh",2020,3,"ysr district",877909,41578067
"Arunachal Pradesh",2019,2,"kra daadi district",440,2639
"Arunachal Pradesh",2018,4,"dibang valley district",178,0
"Andhra Pradesh",2021,4,"prakasam district",1325728,86410317
"Andhra Pradesh",2021,3,"west godavari district",1436576,80244808
"Andaman and Nicobar Islands",2019,4,"south andaman district",22202,139646
"Arunachal Pradesh",2018,1,"anjaw district",278,0
"Andhra Pradesh",2021,3,"chittoor district",2007011,135043395
"Andaman and Nicobar Islands",2019,4,"nicobars district",803,11113
"Andhra Pradesh",2021,4,"kurnool district",1628242,97379271
"Arunachal Pradesh",2018,3,"dibang valley district",145,0
"Arunachal Pradesh",2019,4,"east siang district",9859,132534
"Andhra Pradesh",2021,4,"anantapur district",1719437,120768682
"Andhra Pradesh",2019,3,"anantapur district",773656,22845084
"Arunachal Pradesh",2018,4,"west kameng district",6492,0
"Arunachal Pradesh",2019,2,"changlang district",6884,37725
"Andhra Pradesh",2021,4,"guntur district",2252443,130920743
"Arunachal Pradesh",2018,3,"west kameng district",4765,0
"Arunachal Pradesh",2019,4,"upper subansiri district",3144,42354
"Arunachal Pradesh",2019,2,"pakke kessang district",211,1237
"Arunachal Pradesh",2018,3,"shi yomi district",118,0
"Arunachal Pradesh",2018,1,"lower siang district",270,0
"Arunachal Pradesh",2018,3,"namsai district",1862,0
"Andaman and Nicobar Islands",2020,1,"north and middle andaman district",3315,30444
"Andhra Pradesh",2021,4,"kurnool district",1628242,97379271
"Arunachal Pradesh",2019,4,"tawang district",7303,139898
"Arunachal Pradesh",2019,2,"east siang district",7319,34596
"Andhra Pradesh",2019,3,"kurnool district",755024,22827473
"Arunachal Pradesh",2018,4,"shi yomi district",144,0
"Arunachal Pradesh",2018,4,"lower subansiri district",1459,0
"Andhra Pradesh",2020,3,"west godavari district",1053674,38126238
"Andaman and Nicobar Islands",2020,1,"south andaman district",24174,151529
"Arunachal Pradesh",2019,4,"namsai district",5190,87627
"Andhra Pradesh",2019,3,"guntur district",1026418,28477132
"Andhra Pradesh",2021,4,"guntur district",2252443,130920743
"Andhra Pradesh",2021,4,"krishna district",2288148,134436469
"Arunachal Pradesh",2019,2,"upper subansiri district",2355,9043
"Andhra Pradesh",2021,4,"spsr nellore district",1349290,90814672
"Andaman and Nicobar Islands",2020,1,"nicobars district",879,11613
"Andhra Pradesh",2021,4,"east godavari district",2294347,142536856
"Arunachal Pradesh",2020,1,"lower subansiri district",4351,72887
"Andhra Pradesh",2021,4,"krishna district",2288148,134436469
"Andhra Pradesh",2020,3,"chittoor district",1506503,69462572
"Andhra Pradesh",2021,4,"vizianagaram district",839606,56101822
"Arunachal Pradesh",2020,1,"tirap district",4261,76554
"Arunachal Pradesh",2018,1,"dibang valley district",66,0
"Andaman and Nicobar Islands",2020,2,"north and middle andaman district",4100,56992
"Andhra Pradesh",2021,4,"spsr nellore district",1349290,90814672
"Arunachal Pradesh",2019,2,"tawang district",5908,32103
"Andhra Pradesh",2021,4,"ysr district",1262963,83534122
"Andaman and Nicobar Islands",2020,2,"south andaman district",27626,231071
"Andhra Pradesh",2020,4,"east godavari district",1746280,82605352
"Andhra Pradesh",2019,3,"krishna district",1066546,30077671
"Andhra Pradesh",2021,4,"vizianagaram district",839606,56101822
"Arunachal Pradesh",2018,1,"west kameng district",2202,0
"Arunachal Pradesh",2019,2,"namsai district",3914,18627
"Arunachal Pradesh",2018,4,"east kameng district",691,0
"Arunachal Pradesh",2020,1,"papum pare district",51342,819599
"Andhra Pradesh",2020,4,"srikakulam district",726761,36770992
"Arunachal Pradesh",2018,4,"tirap district",1684,0
"Andhra Pradesh",2021,4,"ysr district",1262963,83534122
"Arunachal Pradesh",2018,3,"east kameng district",521,0
"Arunachal Pradesh",2019,3,"lower subansiri district",2928,42877
"Andhra Pradesh",2019,3,"spsr nellore district",619592,17768733
"Andhra Pradesh",2021,4,"west godavari district",1532898,100007280
"Andhra Pradesh",2020,4,"visakhapatnam district",2209658,124730170
"Arunachal Pradesh",2018,4,"papum pare district",21342,0
"Arunachal Pradesh",2018,1,"shi yomi district",49,0
"Andhra Pradesh",2021,4,"west godavari district",1532898,100007280
"Andhra Pradesh",2021,4,"chittoor district",2141818,154395512
"Arunachal Pradesh",2019,3,"tirap district",3099,49222
"Andhra Pradesh",2020,4,"prakasam district",999462,52839846
"Andhra Pradesh",2021,4,"srikakulam district",965335,61654215
"Arunachal Pradesh",2020,1,"anjaw district",1747,25453
"Arunachal Pradesh",2018,1,"east kameng district",222,0
"Andhra Pradesh",2022,1,"east godavari district",2432305,87134562
"Andaman and Nicobar Islands",2020,2,"nicobars district",984,17009
"Arunachal Pradesh",2019,3,"papum pare district",38845,582435
"Andhra Pradesh",2019,3,"vizianagaram district",394375,13065845
"Andhra Pradesh",2020,4,"anantapur district",1295872,69562398
"Arunachal Pradesh",2020,1,"lower siang district",2201,35216
"Arunachal Pradesh",2018,3,"lohit district",2612,0
"Arunachal Pradesh",2018,1,"lohit district",1207,0
"Andaman and Nicobar Islands",2020,3,"north and middle andaman district",5355,76553
"Arunachal Pradesh",2019,3,"anjaw district",1358,19509
"Andhra Pradesh",2019,3,"ysr district",574109,15833900
"Andhra Pradesh",2022,1,"srikakulam district",1027283,46691467
"Andhra Pradesh",2021,4,"chittoor district",2141818,154395512
"Andhra Pradesh",2021,4,"visakhapatnam district",2888774,188757640
"Arunachal Pradesh",2018,1,"lepa rada district",210,0
"Andaman and Nicobar Islands",2020,3,"south andaman district",34833,417785
"Andhra Pradesh",2019,3,"west godavari district",662102,14227407
"Arunachal Pradesh",2019,3,"lower siang district",1689,25736
"Arunachal Pradesh",2018,4,"anjaw district",744,0
"Andhra Pradesh",2022,1,"visakhapatnam district",3061324,88803090
"Arunachal Pradesh",2018,3,"lepa rada district",431,0
"Andhra Pradesh",2021,4,"prakasam district",1325728,86410317
"Andhra Pradesh",2022,1,"east godavari district",2432305,87134562
"Andhra Pradesh",2019,3,"chittoor district",1032733,34638738
"Arunachal Pradesh",2019,3,"dibang valley district",271,1436
"Andhra Pradesh",2022,1,"prakasam district",1408929,104851997
"Andhra Pradesh",2021,4,"anantapur district",1719437,120768682
"Arunachal Pradesh",2018,3,"lower dibang valley district",1286,0
"Andaman and Nicobar Islands",2020,3,"nicobars district",1147,21227
"Andhra Pradesh",2022,1,"srikakulam district",1027283,46691467
"Arunachal Pradesh",2018,4,"lower siang district",936,0
"Arunachal Pradesh",2019,3,"west kameng district",11186,260068
"Andhra Pradesh",2022,1,"anantapur district",1827094,155792533
"Andhra Pradesh",2021,4,"kurnool district",1628242,97379271
"Arunachal Pradesh",2018,3,"longding district",644,0
"Andaman and Nicobar Islands",2020,4,"north and middle andaman district",7076,125915
"Andhra Pradesh",2022,1,"visakhapatnam district",3061324,88803090
"Arunachal Pradesh",2018,4,"dibang valley district",178,0
"Arunachal Pradesh",2018,1,"lower dibang valley district",601,0
"Andhra Pradesh",2019,4,"east godavari district",1195228,38299189
"Andhra Pradesh",2021,4,"guntur district",2252443,130920743
"Andhra Pradesh",2020,4,"kurnool district",1230466,60615045
"Andaman and Nicobar Islands",2020,4,"south andaman district",43908,725321
"Arunachal Pradesh",2018,4,"lohit district",3588,0
"Andhra Pradesh",2022,1,"prakasam district",1408929,104851997
"Arunachal Pradesh",2018,1,"longding district",256,0
"Andhra Pradesh",2019,4,"srikakulam district",496266,16353822
"Arunachal Pradesh",2018,4,"west kameng district",6492,0
"Andhra Pradesh",2022,1,"anantapur district",1827094,155792533
"Arunachal Pradesh",2018,1,"west siang district",846,0
"Arunachal Pradesh",2019,3,"shi yomi district",239,158
"Arunachal Pradesh",2018,3,"west siang district",1652,0
"Andhra Pradesh",2022,1,"kurnool district",1729513,119653214
"Arunachal Pradesh",2018,4,"shi yomi district",144,0
"Andhra Pradesh",2019,4,"visakhapatnam district",1620235,70749983
"Arunachal Pradesh",2018,4,"lepa rada district",548,0
"Andhra Pradesh",2020,4,"guntur district",1712940,81291172
"Arunachal Pradesh",2018,3,"kamle district",65,0
"Arunachal Pradesh",2019,3,"east kameng district",1304,19974
"Andhra Pradesh",2022,1,"guntur district",2387051,88844052
"Arunachal Pradesh",2018,4,"east kameng district",691,0
"Arunachal Pradesh",2018,4,"lower dibang valley district",1827,0
"Arunachal Pradesh",2020,1,"dibang valley district",320,2195
"Andhra Pradesh",2020,4,"krishna district",1744028,81787771
"Andaman and Nicobar Islands",2020,4,"nicobars district",1412,35972
"Arunachal Pradesh",2019,3,"lohit district",6421,112322
"Andhra Pradesh",2021,4,"krishna district",2288148,134436469
"Arunachal Pradesh",2018,4,"lohit district",3588,0
"Andhra Pradesh",2022,1,"kurnool district",1729513,119653214
"Arunachal Pradesh",2018,3,"upper siang district",646,0
"Andhra Pradesh",2022,1,"krishna district",2423373,85871644
"Andhra Pradesh",2020,4,"spsr nellore district",1022944,54765443
"Andhra Pradesh",2019,4,"prakasam district",673522,21639748
"Arunachal Pradesh",2020,1,"west kameng district",13983,332479
"Arunachal Pradesh",2018,4,"lepa rada district",548,0
"Andhra Pradesh",2022,1,"guntur district",2387051,88844052
"Arunachal Pradesh",2018,3,"kurung kumey district",222,0
"Arunachal Pradesh",2018,4,"longding district",923,0
"Andhra Pradesh",2020,4,"vizianagaram district",634462,35110885
"Andhra Pradesh",2019,4,"anantapur district",873033,30278539
"Arunachal Pradesh",2020,1,"shi yomi district",290,989
"Andhra Pradesh",2021,4,"spsr nellore district",1349290,90814672
"Arunachal Pradesh",2018,1,"kamle district",22,0
"Arunachal Pradesh",2018,3,"siang district",373,0
"Andaman and Nicobar Islands",2021,1,"north and middle andaman district",7833,121680
"Andhra Pradesh",2020,4,"ysr district",959182,49596303
"Andhra Pradesh",2022,1,"spsr nellore district",1431664,101671767
"Arunachal Pradesh",2020,1,"east kameng district",1962,37103
"Arunachal Pradesh",2018,4,"west siang district",2117,0
"Arunachal Pradesh",2018,1,"upper siang district",301,0
"Arunachal Pradesh",2018,4,"lower dibang valley district",1827,0
"Arunachal Pradesh",2020,1,"lohit district",8454,159158
"Andhra Pradesh",2020,4,"west godavari district",1163179,51170162
"Andhra Pradesh",2019,4,"kurnool district",846885,29676997
"Arunachal Pradesh",2018,4,"kamle district",109,0
"Arunachal Pradesh",2018,3,"kra daadi district",190,0
"Andhra Pradesh",2021,4,"vizianagaram district",839606,56101822
"Arunachal Pradesh",2019,3,"lepa rada district",1064,13695
"Andaman and Nicobar Islands",2021,1,"south andaman district",48352,837589
"Andhra Pradesh",2022,1,"vizianagaram district",892889,44804002
"Andhra Pradesh",2019,4,"guntur district",1158708,37846179
"Arunachal Pradesh",2018,4,"longding district",923,0
"Arunachal Pradesh",2018,4,"upper siang district",868,0
"Andhra Pradesh",2021,4,"ysr district",1262963,83534122
"Arunachal Pradesh",2019,3,"lower dibang valley district",3398,43057
"Arunachal Pradesh",2018,1,"kurung kumey district",97,0
"Arunachal Pradesh",2018,3,"changlang district",2889,0
"Andhra Pradesh",2019,4,"krishna district",1199971,39407473
"Arunachal Pradesh",2018,4,"west siang district",2117,0
"Andaman and Nicobar Islands",2021,1,"nicobars district",1573,45067
"Andhra Pradesh",2022,1,"krishna district",2423373,85871644
"Andhra Pradesh",2022,1,"ysr district",1339782,98878499
"Arunachal Pradesh",2018,1,"siang district",192,0
"Arunachal Pradesh",2018,4,"kurung kumey district",321,0
"Andhra Pradesh",2019,4,"spsr nellore district",697154,23608360
"Arunachal Pradesh",2018,4,"kamle district",109,0
"Arunachal Pradesh",2019,3,"longding district",1634,46571
"Andhra Pradesh",2022,1,"spsr nellore district",1431664,101671767
"Andhra Pradesh",2022,1,"west godavari district",1626039,87642475
"Andhra Pradesh",2020,4,"chittoor district",1631331,88232999
"Arunachal Pradesh",2018,1,"kra daadi district",88,0
"Andhra Pradesh",2019,4,"vizianagaram district",443810,17515311
"Arunachal Pradesh",2020,1,"lepa rada district",1532,28280
"Andaman and Nicobar Islands",2021,2,"north and middle andaman district",8493,596182
"Andhra Pradesh",2022,1,"vizianagaram district",892889,44804002
"Andhra Pradesh",2022,1,"chittoor district",2270705,144146671
"Arunachal Pradesh",2019,3,"west siang district",4101,64241
"Andhra Pradesh",2021,4,"west godavari district",1532898,100007280
"Arunachal Pradesh",2018,3,"pakke kessang district",103,0
"Andhra Pradesh",2021,1,"east godavari district",1878769,91478749
"Arunachal Pradesh",2018,4,"upper siang district",868,0
"Arunachal Pradesh",2018,1,"changlang district",1208,0
"Andhra Pradesh",2021,1,"srikakulam district",782604,40590058
"Arunachal Pradesh",2018,4,"kurung kumey district",321,0
"Andhra Pradesh",2022,2,"east godavari district",2564165,93383888
"Arunachal Pradesh",2020,1,"lower dibang valley district",4650,71091
"Andhra Pradesh",2022,1,"ysr district",1339782,98878499
"Arunachal Pradesh",2018,3,"east siang district",3590,0
"Andaman and Nicobar Islands",2021,2,"south andaman district",51903,1270226
"Andhra Pradesh",2021,1,"visakhapatnam district",2368081,135908324
"Arunachal Pradesh",2018,4,"siang district",483,0
"Andhra Pradesh",2019,4,"ysr district",646642,21543798
"Arunachal Pradesh",2020,1,"longding district",2201,58817
"Andhra Pradesh",2022,1,"west godavari district",1626039,87642475
"Arunachal Pradesh",2018,3,"upper subansiri district",1169,0
"Andaman and Nicobar Islands",2021,2,"nicobars district",1699,381815
"Andhra Pradesh",2022,2,"srikakulam district",1086164,51087942
"Arunachal Pradesh",2018,1,"pakke kessang district",39,0
"Andhra Pradesh",2021,4,"chittoor district",2141818,154395512
"Arunachal Pradesh",2020,1,"west siang district",5757,97255
"Andhra Pradesh",2022,1,"chittoor district",2270705,144146671
"Arunachal Pradesh",2018,3,"tawang district",3112,0
"Andhra Pradesh",2022,2,"visakhapatnam district",3226029,93552701
"Andaman and Nicobar Islands",2021,3,"north and middle andaman district",9263,759314
"Arunachal Pradesh",2018,1,"east siang district",1803,0
"Arunachal Pradesh",2018,4,"kra daadi district",255,0
"Arunachal Pradesh",2018,4,"siang district",483,0
"Andhra Pradesh",2022,2,"east godavari district",2564165,93383888
"Andhra Pradesh",2021,1,"prakasam district",1075936,56911479
"Andhra Pradesh",2022,2,"prakasam district",1487589,108172758
"Andaman and Nicobar Islands",2021,3,"south andaman district",55873,1771107
"Arunachal Pradesh",2020,1,"kamle district",373,7135
"Andhra Pradesh",2019,4,"west godavari district",750078,19393528
"Andhra Pradesh",2022,2,"srikakulam district",1086164,51087942
"Arunachal Pradesh",2018,4,"kra daadi district",255,0
"Andhra Pradesh",2021,1,"anantapur district",1394849,73375049
"Andhra Pradesh",2022,2,"anantapur district",1928213,181499094
"Andaman and Nicobar Islands",2021,3,"nicobars district",1846,591204
"Arunachal Pradesh",2020,1,"upper siang district",2143,37600
"Andhra Pradesh",2019,4,"chittoor district",1156351,44888591
"Andhra Pradesh",2022,1,"east godavari district",2432305,87134562
"Arunachal Pradesh",2018,4,"changlang district",4036,0
"Arunachal Pradesh",2019,3,"kamle district",258,3686
"Andhra Pradesh",2021,1,"kurnool district",1323411,65326230
"Arunachal Pradesh",2018,4,"changlang district",4036,0
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",10002,171921
"Andhra Pradesh",2022,1,"srikakulam district",1027283,46691467
"Arunachal Pradesh",2020,1,"kurung kumey district",725,11471
"Arunachal Pradesh",2018,4,"pakke kessang district",138,0
